sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,17.80,17.69,16.97,16.28,14.21,12.04,10.63,9.22,6.71,6.08,7.07,8.54,10.30,11.66,13.04,14.76,15.65,15.23,15.23,14.87,13.60,12.37,11.40,9.49,7.62,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.80,15.26,13.04,10.00,8.49,6.71,9.06,11.05,14.04,16.03,18.00,19.03,20.22,19.42,18.68,17.09,15.23,13.00,10.77,8.25,7.07,6.71,7.81,10.30,13.04,15.26,3.0,2.0
0.00,17.46,18.11,17.12,16.03,14.00,13.00,11.05,9.22,7.62,7.07,8.06,9.49,10.20,12.17,14.14,15.30,16.28,16.49,15.81,16.16,14.32,13.42,11.18,9.49,8.25,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.12,15.30,12.17,10.05,7.00,6.71,8.49,10.00,13.60,15.81,17.80,19.80,19.10,19.42,18.87,17.00,14.76,12.53,10.30,7.81,5.83,7.07,8.25,10.44,13.60,15.81,3.0,2.0
0.00,12.65,12.65,10.30,8.60,7.81,7.62,9.22,9.06,10.05,9.22,10.77,10.30,10.30,11.40,12.81,11.31,12.04,11.40,11.40,10.30,10.77,10.44,9.22,9.00,10.00,10.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,7.21,8.94,11.40,13.34,16.12,17.00,18.03,17.12,17.26,16.76,15.81,13.00,11.70,9.06,7.28,7.21,9.22,12.08,13.93,15.52,15.52,14.32,12.17,11.18,10.05,3.0,2.0
0.00,19.42,18.68,17.72,15.81,12.65,11.40,9.06,9.06,9.85,10.30,12.21,13.60,15.81,16.64,17.00,17.89,17.46,16.76,15.52,14.32,12.17,10.20,8.54,8.60,8.49,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,13.60,14.42,13.89,14.76,15.65,16.55,17.89,18.36,18.87,20.00,19.21,17.69,16.97,14.87,13.45,12.21,11.18,10.44,11.05,13.04,14.00,16.00,18.03,19.10,3.0,2.0
0.00,18.87,17.00,16.55,13.93,12.08,10.30,8.60,7.81,7.62,9.22,11.18,13.04,14.14,15.30,16.49,16.76,16.16,15.65,13.89,13.04,10.82,9.43,7.62,7.07,7.07,8.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.04,14.04,13.04,13.15,13.15,13.34,14.32,15.30,16.49,17.46,18.25,19.10,18.03,17.00,16.03,15.03,13.00,11.05,10.20,9.49,10.00,12.04,12.73,15.56,17.69,18.44,3.0,2.0
0.00,11.40,10.44,10.77,10.30,10.00,10.63,10.63,10.63,11.31,12.04,12.81,13.45,14.14,13.45,13.45,13.45,12.81,12.21,13.04,11.66,10.30,10.30,10.30,10.30,11.18,11.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00,5.00,5.10,5.00,6.08,7.07,8.25,8.25,8.54,8.54,8.94,9.43,9.43,9.43,8.60,9.22,9.22,9.22,9.90,9.90,10.00,10.00,10.82,10.82,11.18,3.0,2.0
0.00,18.60,19.42,18.87,18.36,16.55,15.23,12.65,9.85,7.62,5.66,5.10,6.08,8.94,12.08,13.42,15.65,17.46,18.38,19.31,18.03,17.09,16.16,14.32,11.66,10.63,8.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.07,5.83,5.39,5.10,5.83,7.81,9.22,10.63,12.81,14.21,14.87,15.56,15.62,15.81,14.42,13.89,12.08,9.49,7.62,5.00,3.16,4.47,7.07,9.90,13.45,15.56,3.0,2.0
0.00,20.25,20.62,20.12,19.72,18.03,15.81,13.60,10.82,8.94,6.08,6.32,7.21,10.63,12.81,15.00,17.80,19.21,19.85,20.52,20.52,19.10,17.03,15.62,13.60,11.18,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.32,5.10,4.12,4.24,5.39,7.07,9.06,11.05,13.04,14.14,15.30,16.49,15.81,16.16,14.32,13.42,11.66,8.60,6.71,4.12,3.61,5.39,8.25,11.18,14.32,16.76,3.0,2.0
0.00,17.12,16.28,13.15,11.18,9.06,7.00,4.12,3.61,5.00,7.28,8.54,9.49,11.18,11.66,12.21,12.21,12.04,10.63,9.43,8.54,8.06,7.07,6.71,5.66,6.32,7.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.62,7.62,7.28,8.25,8.06,8.06,8.00,9.22,9.22,8.54,8.94,8.06,7.21,6.40,3.61,2.24,2.24,2.00,4.12,7.07,9.06,12.00,14.04,16.12,17.26,18.25,3.0,2.0
0.00,16.49,15.52,13.34,11.40,9.49,6.71,5.00,5.10,7.07,8.54,11.18,13.00,14.32,15.23,15.23,13.93,13.00,12.53,11.66,7.81,7.21,5.10,5.10,7.21,7.81,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.24,3.61,5.00,7.07,7.81,8.60,9.43,9.43,8.94,8.54,6.71,6.32,4.47,3.61,4.12,4.12,6.32,8.54,11.70,13.93,17.09,19.31,21.19,3.0,2.0
0.00,18.03,19.31,19.70,19.24,18.36,17.49,15.26,12.21,9.43,6.71,5.00,4.47,7.21,9.85,12.65,14.87,17.09,18.38,18.79,18.79,17.89,17.00,14.76,12.53,9.85,7.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.82,10.00,8.60,7.21,5.39,4.00,3.61,5.83,7.28,9.22,11.40,13.60,13.93,14.87,15.23,14.32,13.89,11.66,10.30,8.06,6.32,5.10,5.66,8.06,10.77,13.60,3.0,2.0
0.00,18.03,18.87,19.72,20.12,17.46,17.09,14.87,11.70,8.54,6.40,4.47,5.10,7.62,10.82,14.42,15.81,18.87,19.72,20.59,20.12,20.12,18.79,16.55,13.42,10.82,8.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.37,11.40,10.20,8.25,6.32,5.00,4.47,5.10,6.71,8.60,10.82,13.04,13.89,14.76,14.32,13.93,13.60,11.40,9.22,7.28,5.39,3.61,5.10,7.21,10.00,13.60,3.0,2.0
0.00,2.24,2.24,3.16,4.47,5.83,8.60,10.30,12.08,11.70,12.37,12.17,12.17,11.05,11.00,9.06,6.32,4.24,3.61,3.16,5.66,8.06,9.85,11.70,12.65,13.60,13.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,12.04,14.42,15.23,16.76,16.28,16.28,14.14,12.17,9.06,4.12,0.00,3.16,7.07,9.22,11.18,12.37,14.56,16.49,14.87,15.65,15.23,15.23,13.93,13.93,13.60,3.0,2.0
0.00,19.24,20.02,19.00,19.03,16.28,15.30,13.34,11.18,9.06,8.06,7.62,8.06,10.63,12.04,13.45,14.87,16.40,17.20,16.64,16.12,15.65,14.32,13.42,11.18,10.82,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.66,10.82,10.82,10.00,9.90,9.22,10.30,11.18,11.70,12.65,13.93,14.87,14.32,14.76,13.89,13.60,12.21,10.63,10.00,8.94,8.25,9.00,11.05,12.17,14.56,16.49,3.0,2.0
0.00,18.44,19.42,18.87,18.36,16.55,15.23,13.00,10.77,8.94,7.21,7.07,8.06,9.49,11.18,13.34,14.32,15.81,15.81,16.16,15.65,14.76,13.89,12.53,11.66,9.85,8.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.66,11.18,11.18,9.85,9.49,9.22,10.00,10.05,12.17,12.17,13.15,14.14,15.03,14.00,14.04,13.04,12.17,11.18,9.06,9.00,8.25,8.94,10.00,12.04,14.14,15.56,3.0,2.0
0.00,15.81,18.03,20.00,20.00,20.62,19.85,18.38,16.28,13.45,11.31,8.60,7.28,6.08,7.21,9.22,12.21,14.42,16.12,17.49,18.03,17.49,17.49,16.12,14.76,12.08,10.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.94,8.54,7.28,6.08,5.10,3.16,1.41,2.24,4.47,6.71,9.85,11.66,13.04,14.21,15.56,14.87,15.00,13.89,13.04,10.82,8.60,6.40,4.12,4.47,7.07,10.82,3.0,2.0
0.00,15.52,17.72,18.03,20.25,18.79,18.79,17.00,15.26,12.53,10.30,7.28,5.00,5.00,6.71,9.22,11.18,14.04,16.03,17.03,17.03,17.03,17.03,16.00,14.00,12.04,10.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.22,9.22,8.60,7.21,5.00,3.61,2.24,2.83,4.47,7.28,9.49,11.70,13.42,14.76,15.26,15.81,15.62,14.87,13.45,12.04,9.22,7.07,4.47,3.61,6.71,9.85,3.0,2.0
0.00,21.95,22.47,20.59,18.87,16.12,12.53,9.43,5.83,1.41,2.00,6.08,10.20,13.34,15.30,18.25,19.24,20.10,20.22,19.10,17.12,15.13,13.15,10.20,6.32,2.83,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.81,5.83,3.61,0.00,2.83,5.66,9.22,12.04,15.00,17.80,19.21,20.62,19.85,19.85,18.44,16.28,14.14,10.63,7.07,3.61,1.00,5.39,8.60,13.04,16.64,18.87,3.0,2.0
0.00,21.38,21.21,20.22,19.24,15.30,13.34,9.22,6.08,2.00,2.24,5.39,8.94,12.53,14.76,17.00,18.36,18.87,18.87,18.87,16.64,14.76,12.53,9.85,6.32,3.16,3.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.06,6.08,3.00,0.00,2.24,5.10,9.22,12.37,14.32,16.49,18.44,19.65,19.42,19.42,17.26,16.28,13.15,10.05,7.07,3.16,1.41,5.10,8.25,13.15,16.12,19.24,3.0,2.0
0.00,11.70,10.00,10.00,11.18,12.65,13.60,14.56,16.49,14.32,14.56,14.56,13.60,12.65,11.70,10.44,8.25,7.07,6.00,6.32,6.71,8.06,8.94,8.94,9.49,10.20,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,12.17,13.60,15.23,16.12,16.40,16.28,16.28,14.21,12.81,12.04,9.22,8.94,9.22,10.00,11.18,13.15,15.30,18.44,19.42,20.40,20.22,20.22,19.10,17.12,15.13,3.0,2.0
0.00,12.04,11.66,11.70,12.17,13.00,15.03,16.12,17.12,16.12,16.12,15.03,15.03,14.00,13.00,11.00,10.05,8.06,7.28,6.71,6.40,7.81,8.49,9.22,10.00,10.30,10.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.70,13.60,15.30,16.03,17.03,17.26,16.49,15.81,14.87,13.00,11.70,10.20,9.00,9.49,11.18,13.04,15.00,16.40,20.00,21.40,21.40,21.63,21.63,20.25,18.87,16.64,3.0,2.0
0.00,11.66,10.63,10.82,12.08,12.65,14.32,15.30,16.28,15.30,15.30,15.52,15.52,14.56,13.60,12.65,11.40,9.22,8.06,7.00,7.07,7.28,8.54,8.54,9.49,10.20,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,14.04,15.03,15.52,16.16,15.65,15.26,13.60,11.40,10.82,8.94,8.25,9.00,10.20,11.40,13.00,15.23,16.16,19.31,20.25,20.88,20.88,19.65,18.68,17.72,15.81,3.0,2.0
0.00,12.08,10.20,11.05,11.40,13.00,13.42,14.76,16.12,14.76,14.76,14.76,14.32,13.00,12.08,10.77,8.94,7.21,5.66,5.83,6.71,7.28,8.54,8.94,9.43,10.00,9.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.31,12.81,14.42,15.65,17.09,17.46,17.12,16.03,15.00,14.00,12.04,10.20,9.49,9.43,9.90,12.21,14.42,16.12,18.87,20.25,21.10,20.81,20.81,19.42,18.03,15.81,3.0,2.0
0.00,10.82,9.49,10.05,11.18,12.37,13.60,14.87,16.16,14.87,14.87,14.87,13.60,12.65,11.40,10.44,8.54,6.71,6.40,6.40,6.71,7.62,8.94,8.94,10.00,10.63,10.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.85,11.70,13.34,15.13,16.00,16.12,16.49,15.81,13.93,12.08,10.77,9.22,8.06,8.54,9.43,11.40,13.45,14.87,18.38,19.80,19.85,19.85,19.21,18.44,17.03,14.87,3.0,2.0
0.00,10.82,8.60,4.24,3.16,4.47,8.25,10.20,13.15,13.34,13.60,13.93,13.93,13.00,12.08,9.85,7.62,5.10,3.00,2.24,3.16,5.83,7.07,9.22,10.00,10.82,11.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,9.06,12.04,15.13,17.12,18.03,19.03,19.03,18.03,17.03,15.03,12.04,9.00,6.00,2.83,3.16,6.40,9.90,13.45,16.28,18.38,19.85,20.62,20.81,19.42,17.49,3.0,2.0
