sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,23.35,22.56,20.62,18.97,16.16,12.08,8.94,4.47,1.41,2.24,5.66,8.49,10.63,12.81,14.42,15.81,14.42,15.26,14.42,13.60,12.21,9.90,8.49,6.40,3.61,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,4.12,2.83,5.00,7.28,11.18,13.89,16.40,18.44,20.62,20.62,20.62,19.85,18.44,16.40,13.60,10.00,7.07,3.61,2.83,6.08,10.00,14.04,18.03,20.02,22.20,2.0,1.0
0.00,25.50,24.76,22.63,19.85,16.40,12.21,8.60,4.24,1.00,4.00,7.00,10.00,12.00,14.04,16.03,16.12,15.13,15.13,13.15,12.17,10.05,8.00,4.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.18,8.54,5.83,3.16,2.83,6.08,10.00,13.15,16.28,18.44,20.62,20.62,20.40,19.42,17.26,14.14,11.18,7.28,4.47,3.00,6.40,10.82,15.26,18.87,21.63,23.60,2.0,1.0
0.00,24.74,24.52,22.36,19.24,16.12,12.04,8.00,4.12,1.00,3.61,6.71,9.85,12.53,14.76,16.12,16.64,15.26,15.26,14.42,11.66,10.30,8.06,4.47,2.24,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,8.94,6.32,3.16,3.00,5.83,9.90,12.81,15.00,18.03,19.42,20.25,20.25,19.42,17.20,14.21,11.40,7.21,3.61,2.00,6.32,10.77,14.32,18.38,21.54,23.41,2.0,1.0
0.00,24.70,23.85,21.63,20.00,16.40,13.45,9.22,5.00,2.00,3.00,5.39,8.54,11.40,13.60,15.52,16.49,15.52,15.30,15.30,14.32,13.34,10.44,8.54,6.32,3.61,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.28,5.00,3.16,4.24,7.28,10.05,13.00,16.03,18.11,19.24,20.22,20.40,19.24,17.26,15.13,12.04,9.06,5.10,2.24,3.16,7.28,11.70,15.23,19.31,21.93,23.71,2.0,1.0
0.00,18.00,19.03,20.02,19.10,18.11,16.12,14.14,11.05,8.06,5.00,2.24,1.41,5.39,8.94,11.18,13.42,14.76,16.64,17.20,16.40,16.28,14.87,12.81,10.82,8.06,5.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.12,15.03,12.17,9.22,5.83,5.39,7.07,9.85,13.04,15.81,18.87,20.25,21.63,21.63,21.10,20.25,18.03,15.81,13.04,9.43,6.40,3.16,3.16,7.07,11.00,14.00,2.0,1.0
0.00,18.44,19.65,19.65,19.92,17.72,16.76,13.93,11.70,8.54,5.39,2.24,1.00,4.47,7.62,10.30,13.04,14.42,15.81,15.62,16.28,15.56,14.21,11.40,9.43,6.71,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.12,14.14,11.05,8.00,5.39,4.47,7.07,9.49,13.00,16.55,19.24,21.02,22.36,21.93,21.93,21.02,18.79,15.65,13.42,10.30,6.40,3.61,3.61,7.62,10.44,14.14,2.0,1.0
0.00,13.45,16.28,17.69,18.44,19.42,18.87,17.89,16.16,12.65,10.44,8.25,6.32,3.61,3.00,4.47,6.40,7.81,10.63,11.31,12.04,13.45,12.73,12.73,12.04,10.63,9.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.14,14.00,13.00,12.04,10.20,8.54,7.21,5.00,5.00,6.71,9.22,11.31,13.45,15.56,16.28,17.03,17.20,16.64,17.00,14.32,12.08,9.85,6.40,3.61,4.47,7.07,2.0,1.0
0.00,13.89,16.12,17.89,19.70,19.31,18.68,18.44,17.12,13.04,11.00,9.00,7.00,4.12,2.83,3.00,5.39,6.71,8.94,10.30,11.18,11.66,11.66,11.66,10.82,9.22,7.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.37,12.17,12.04,11.00,10.05,8.25,6.40,5.83,6.00,7.62,10.30,13.04,14.42,16.64,17.49,18.36,17.89,17.46,18.03,15.52,13.60,11.40,7.62,5.00,5.00,7.62,2.0,1.0
0.00,13.34,16.28,18.11,19.10,19.00,19.03,18.11,16.28,13.60,11.70,8.54,6.32,4.12,3.16,3.16,6.00,7.00,9.06,10.05,11.05,12.04,12.17,11.18,10.20,9.22,7.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.21,12.08,11.70,10.44,10.20,8.00,6.32,5.66,6.08,8.00,10.20,12.65,14.56,16.76,17.46,18.25,18.11,17.03,18.00,16.00,13.04,11.00,7.07,5.83,5.39,8.06,2.0,1.0
0.00,14.14,16.97,18.44,20.00,19.42,19.24,18.79,17.09,13.60,11.40,9.22,6.32,3.61,3.16,4.12,6.71,8.06,9.43,10.82,12.21,12.21,12.21,12.21,11.40,10.63,8.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,13.04,12.17,11.18,9.49,7.62,5.66,4.12,5.39,7.81,9.90,12.04,14.21,15.62,16.28,17.69,17.80,17.20,17.20,15.26,12.53,9.43,7.07,5.10,5.39,7.81,2.0,1.0
