sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,16.49,17.26,17.12,17.12,16.03,16.00,15.00,14.00,13.00,12.00,12.04,12.00,12.04,13.04,13.15,14.14,14.04,14.04,14.04,13.04,13.15,13.15,13.15,12.37,12.65,12.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.62,14.21,12.81,10.63,9.22,8.94,9.22,10.00,12.17,14.32,16.12,18.11,18.03,19.03,19.10,18.25,17.72,16.16,14.87,13.60,12.37,11.18,12.00,13.04,13.34,15.30,1.0,3.0
0.00,16.12,17.12,17.03,17.00,15.03,15.03,13.04,12.17,11.18,11.05,11.05,11.00,11.00,12.00,12.04,13.00,13.00,13.00,13.00,13.00,12.04,12.04,12.17,12.17,12.37,12.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.76,13.89,12.53,10.30,9.22,7.81,7.62,9.06,11.00,13.04,15.03,17.00,17.12,18.25,17.46,18.03,16.55,14.76,13.42,12.53,10.77,10.44,11.05,11.00,13.04,14.14,1.0,3.0
0.00,19.92,18.97,16.76,13.00,9.85,6.71,2.83,1.41,3.00,6.08,8.06,10.44,10.44,10.44,8.54,7.28,5.39,3.61,1.41,2.24,3.61,4.47,5.83,6.71,7.21,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,9.49,7.62,4.47,2.24,2.24,5.10,9.22,12.65,15.81,17.72,19.42,19.42,19.24,18.25,17.12,14.04,10.05,6.32,3.16,5.00,8.94,11.70,13.93,17.09,18.97,1.0,3.0
0.00,17.00,17.89,18.79,18.38,17.09,16.16,13.93,10.77,8.06,6.40,5.39,6.08,8.06,10.00,12.81,14.21,15.62,17.03,17.03,16.28,14.87,13.45,11.40,9.43,8.54,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.28,14.87,13.45,11.40,8.60,5.00,1.41,2.24,6.32,9.49,12.37,15.30,17.12,18.03,19.00,19.03,17.12,16.28,14.32,11.18,8.06,5.00,2.83,5.10,8.54,12.08,1.0,3.0
0.00,17.03,18.03,19.00,18.00,17.03,16.03,14.04,11.00,8.00,6.32,4.24,5.10,8.06,10.20,12.37,13.60,15.81,16.76,16.76,15.81,14.87,13.00,11.18,9.43,7.81,6.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.23,14.87,12.65,11.40,8.06,5.10,1.00,2.00,6.00,10.05,13.15,15.30,17.46,18.03,18.38,18.79,17.49,15.81,14.42,10.82,8.06,5.39,3.16,5.39,9.00,12.00,1.0,3.0
0.00,15.03,17.03,18.00,18.03,17.03,17.12,15.13,13.15,11.05,9.00,7.28,7.21,7.81,8.94,11.40,13.34,14.32,15.30,16.28,16.28,15.30,14.14,13.04,11.00,10.20,8.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.13,14.32,12.65,10.77,8.54,5.39,3.16,2.00,4.47,7.62,11.18,13.00,14.87,16.49,17.12,17.03,17.03,15.13,14.14,12.17,9.22,7.00,4.47,4.47,7.00,10.00,1.0,3.0
0.00,16.49,18.03,19.92,19.31,18.79,19.24,17.00,16.12,12.53,11.18,9.22,8.00,8.54,10.30,11.40,13.45,15.56,16.97,17.69,17.69,16.97,16.28,14.87,12.81,11.66,10.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.03,16.12,14.32,13.34,10.20,7.28,4.00,2.83,5.10,8.25,11.70,14.56,16.28,18.11,19.03,20.02,19.24,17.46,16.49,13.60,11.40,9.06,7.00,6.40,8.06,10.77,1.0,3.0
0.00,4.00,3.16,5.39,10.30,12.53,15.26,17.00,18.79,19.70,19.31,18.03,16.76,15.52,12.37,9.22,6.32,2.83,2.24,5.83,7.62,11.70,13.93,14.87,17.09,17.09,17.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.45,15.56,16.97,18.38,18.38,18.38,16.97,15.56,13.45,10.63,7.21,5.10,4.24,6.32,10.20,13.04,16.12,18.25,20.22,20.40,21.59,20.62,19.92,18.03,14.87,11.40,0.00,7.28,6.32,11.70,17.00,22.47,27.46,31.91,33.12,33.54,34.01,32.31,30.68,26.25,21.84,17.72,11.70,6.40,5.39,9.43,15.23,20.25,24.35,27.20,29.73,31.02,31.02,28.79,27.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,18.44,23.35,26.87,29.70,31.83,33.24,32.53,30.41,27.59,23.35,18.44,13.04,7.07,7.81,11.40,17.12,22.09,27.17,30.27,35.23,35.69,37.85,35.90,34.21,30.08,25.96,19.42,1.0,3.0
0.00,4.12,2.24,6.40,9.43,12.53,16.12,18.36,19.72,20.25,20.00,20.00,18.44,16.28,14.21,10.63,7.81,3.61,1.00,3.16,6.71,8.94,12.53,13.89,14.76,16.12,16.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.08,14.76,17.00,18.36,18.87,18.87,18.03,16.64,14.42,11.40,8.60,4.24,2.00,4.00,8.06,11.18,14.04,16.03,18.03,20.02,20.00,20.00,19.00,17.03,15.00,11.00,1.0,3.0
0.00,4.12,1.41,4.47,7.81,10.63,13.45,15.56,16.40,17.20,17.20,16.64,15.26,13.89,11.18,8.94,5.83,3.61,1.00,4.12,7.07,10.20,12.17,14.32,15.30,16.28,16.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,12.65,14.87,15.81,16.76,17.09,15.81,14.87,13.00,9.85,7.21,4.24,2.24,4.47,8.25,11.40,13.60,15.81,17.72,19.65,20.25,19.31,18.38,16.16,14.87,11.70,1.0,3.0
