sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,16.64,14.42,12.21,10.63,9.22,9.43,9.85,11.70,12.65,13.93,15.23,15.26,15.81,15.62,14.14,12.81,10.00,7.81,5.66,4.12,5.39,8.60,10.82,13.89,16.12,18.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.31,9.43,9.22,11.05,13.34,15.52,17.72,19.65,20.62,21.38,21.21,20.10,18.00,17.00,14.00,12.04,10.20,9.85,10.00,12.04,14.21,15.62,17.69,18.38,19.10,19.21,1.0,2.0
0.00,18.25,16.12,14.14,12.37,10.77,10.30,10.63,12.04,14.14,14.87,15.62,16.64,17.00,16.16,14.87,13.60,11.18,9.22,6.71,5.00,6.08,8.06,11.18,13.15,16.03,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.08,10.82,10.82,12.08,14.56,16.49,19.42,20.62,22.56,22.80,22.47,21.54,19.70,17.89,15.23,13.00,11.40,11.05,11.18,12.65,15.23,17.46,18.38,19.92,20.88,20.62,1.0,2.0
0.00,19.42,18.25,15.30,12.37,9.85,9.22,9.43,10.77,12.65,14.87,17.46,19.24,20.59,20.81,20.62,19.80,17.69,15.62,12.81,9.90,5.83,6.08,7.21,9.90,13.45,16.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,8.25,7.81,9.43,12.08,15.81,18.03,19.92,21.54,22.85,22.36,21.95,20.25,18.03,15.26,12.53,9.49,9.06,10.20,12.08,14.76,17.00,18.79,20.62,21.54,22.14,1.0,2.0
0.00,17.46,16.16,13.00,10.77,8.06,7.81,7.62,9.06,11.00,13.04,15.03,16.28,17.72,18.38,17.89,17.49,15.00,12.81,10.63,7.21,5.10,4.47,7.21,10.30,13.42,15.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,7.62,7.81,8.94,11.40,14.14,16.12,18.25,20.22,20.40,20.88,19.92,18.38,16.55,13.42,10.77,8.25,8.00,7.62,10.00,12.04,14.21,16.40,18.60,19.42,19.72,1.0,2.0
0.00,21.84,23.54,22.80,22.80,20.62,17.46,15.30,12.04,8.06,5.39,4.47,6.00,7.62,10.30,12.53,13.89,13.89,14.76,14.76,14.32,13.00,11.40,10.20,8.06,6.08,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,12.04,10.44,7.62,5.00,1.41,2.83,6.40,9.43,12.53,15.65,17.09,18.03,18.68,17.72,17.72,14.56,12.37,10.44,6.71,3.61,2.83,6.71,11.40,15.52,17.72,1.0,2.0
0.00,22.80,22.14,20.62,19.24,16.12,13.04,10.82,8.06,5.10,4.47,5.66,7.81,9.43,11.66,13.60,14.21,14.21,14.87,14.14,12.73,12.04,10.63,9.22,7.21,5.83,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.62,6.00,5.83,5.83,8.06,11.00,13.04,15.13,17.26,19.24,20.22,19.24,18.11,17.03,15.00,13.00,10.05,8.25,6.71,6.71,8.25,11.05,15.00,17.03,20.10,21.21,1.0,2.0
0.00,22.36,21.95,20.00,18.44,14.14,12.04,8.49,5.83,3.00,4.24,7.21,9.43,10.82,12.81,14.14,14.87,14.21,13.60,12.81,12.21,10.00,7.81,6.40,4.47,3.00,3.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.21,10.30,8.25,6.08,6.40,8.94,11.18,14.04,16.03,18.00,20.02,20.02,20.10,19.24,17.26,15.52,12.37,9.22,7.00,5.83,6.71,10.44,13.34,16.28,19.65,20.88,1.0,2.0
0.00,22.14,21.54,20.12,17.49,14.42,12.21,8.60,5.39,3.16,4.24,6.71,9.85,11.18,13.42,14.42,15.00,14.21,14.21,12.04,12.04,10.63,8.60,5.83,4.12,3.16,3.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.21,9.85,8.06,6.08,6.40,8.54,11.18,14.00,17.00,18.03,20.02,20.02,20.02,19.03,17.12,15.30,12.17,9.06,7.07,5.66,7.28,10.05,13.00,17.03,20.10,21.38,1.0,2.0
0.00,21.95,21.63,20.62,17.69,15.56,12.04,9.22,6.40,3.16,3.16,5.00,7.21,9.43,11.40,12.81,14.87,14.14,14.14,13.45,12.73,12.04,9.90,8.49,6.40,5.39,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.49,6.71,6.00,7.21,8.60,11.70,13.60,16.49,18.44,19.42,20.62,20.62,18.68,18.03,16.16,13.00,10.77,7.28,6.08,5.66,7.62,11.40,14.32,17.72,19.92,21.54,1.0,2.0
0.00,13.93,13.00,10.77,11.18,10.00,10.63,11.31,12.04,12.81,13.60,14.42,14.76,13.93,13.60,13.34,11.18,10.20,8.25,7.62,7.07,8.60,9.85,11.70,13.93,15.65,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,13.15,14.32,15.81,17.09,18.03,19.31,19.92,19.92,19.65,17.46,16.49,15.30,13.34,11.70,11.18,10.82,10.82,11.40,13.45,14.21,15.00,15.81,16.12,17.00,16.55,1.0,2.0
