sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,19.03,20.00,20.00,20.02,18.03,17.12,15.03,13.00,10.05,8.54,7.21,6.71,8.06,10.00,13.04,14.14,16.28,17.26,17.26,18.25,17.12,17.12,16.03,14.14,12.17,10.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.32,12.65,9.85,6.71,3.61,1.41,4.12,7.28,10.20,13.15,16.12,18.00,19.03,19.10,18.25,18.44,16.49,13.34,11.40,8.25,6.00,5.00,5.39,9.00,12.04,14.14,3.0,1.0
0.00,17.03,18.03,18.00,19.00,17.00,15.03,14.00,11.00,9.06,7.62,5.66,6.32,8.00,10.05,12.17,13.34,15.52,16.49,17.46,17.26,17.26,16.28,15.13,13.15,12.17,10.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.14,12.37,10.44,7.62,5.10,2.24,4.00,6.32,10.20,13.15,15.13,17.00,18.03,19.10,18.25,17.46,15.52,13.60,11.40,8.25,6.00,4.47,4.47,8.00,11.05,13.15,3.0,1.0
0.00,8.60,10.82,13.04,15.26,15.00,16.40,16.40,14.87,13.45,12.04,10.00,8.06,6.08,6.32,7.21,9.22,10.82,12.53,13.89,14.76,14.32,14.32,14.32,12.08,9.85,7.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.03,19.03,19.00,18.03,17.03,14.04,12.04,9.06,5.00,1.41,2.83,6.40,9.90,12.04,14.14,16.28,16.40,16.64,16.12,16.12,14.32,12.08,8.94,6.71,3.61,3.00,3.0,1.0
0.00,9.43,12.21,14.42,16.64,17.49,18.36,17.89,16.55,15.23,13.00,10.30,8.60,7.21,7.07,7.28,9.85,12.21,14.21,15.62,16.28,17.03,16.28,15.56,12.73,10.63,8.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.70,21.02,21.02,20.59,18.36,16.12,13.04,9.43,5.39,2.24,4.12,7.62,10.77,13.93,15.81,17.72,18.44,19.10,18.03,18.00,16.00,14.04,11.00,7.00,4.47,4.12,3.0,1.0
0.00,7.28,9.49,11.70,13.93,13.60,15.52,14.56,14.32,13.34,11.18,9.22,6.32,4.47,3.16,4.47,5.66,8.60,10.82,12.53,13.42,14.32,14.32,13.93,12.65,11.18,9.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.28,16.12,17.12,15.13,14.04,12.04,9.06,6.08,2.24,1.41,4.12,8.25,10.20,13.60,14.56,17.09,16.55,17.00,16.12,15.26,14.42,12.21,9.43,5.83,3.16,2.24,3.0,1.0
0.00,8.54,10.77,13.93,15.81,16.16,17.46,17.46,16.55,14.76,12.53,11.18,7.62,6.08,3.16,4.47,6.00,9.22,11.40,13.60,14.87,15.23,15.23,14.76,13.42,12.21,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.38,18.79,18.79,17.89,15.65,13.42,10.30,6.71,3.16,1.41,5.00,8.49,12.04,14.87,17.03,18.60,18.87,19.24,17.89,17.46,15.23,13.00,10.77,6.71,4.24,3.16,3.0,1.0
0.00,9.06,12.04,14.04,16.03,16.03,17.03,17.12,16.12,15.13,14.14,11.18,9.06,7.00,4.12,3.61,5.10,7.62,9.85,12.08,13.60,14.56,15.30,15.13,14.04,13.00,11.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.97,19.31,19.70,17.89,16.12,13.89,11.66,8.94,6.08,5.83,7.81,9.85,12.65,14.87,16.16,18.03,18.03,18.38,17.46,16.55,15.23,13.00,10.44,8.06,6.08,5.00,3.0,1.0
0.00,9.49,11.70,13.93,15.81,16.16,17.09,16.76,16.76,15.52,14.56,11.70,9.49,6.71,4.24,4.00,5.39,7.81,9.90,12.04,14.21,15.00,15.26,16.12,14.32,13.93,11.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,19.03,19.10,18.25,16.49,14.56,12.37,9.22,6.08,5.00,6.32,9.06,12.00,14.00,16.00,17.00,18.00,18.00,17.03,16.03,14.04,12.04,10.00,7.07,5.00,5.39,3.0,1.0
0.00,8.06,10.00,12.81,14.21,15.00,15.81,15.00,14.42,13.04,11.40,9.22,6.40,4.24,2.00,3.16,6.00,9.00,11.00,13.04,15.13,16.28,16.49,15.52,14.87,13.93,12.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.31,19.70,20.12,18.36,16.12,13.89,11.66,8.54,6.00,5.00,6.71,10.20,12.17,15.13,16.12,18.11,18.11,18.11,17.12,16.28,14.14,12.17,10.05,6.00,3.61,3.00,3.0,1.0
0.00,9.00,12.00,14.04,15.00,16.00,17.00,16.00,15.00,14.00,13.00,11.00,8.00,5.10,2.83,3.00,5.00,8.49,10.63,12.73,14.87,15.00,15.81,15.26,14.76,14.32,11.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.24,19.70,19.31,18.97,16.76,14.56,11.40,8.54,5.83,4.12,5.39,8.60,11.31,13.45,14.87,16.28,17.69,16.28,16.28,15.56,13.45,11.31,8.49,5.83,3.00,3.61,3.0,1.0
