sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,9.43,11.66,13.89,15.26,15.26,15.26,14.42,13.04,11.18,9.49,8.00,7.28,9.22,10.82,14.76,17.46,19.70,21.54,22.47,22.14,22.14,20.62,18.44,14.14,11.05,8.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.85,10.20,12.04,12.04,12.37,12.08,11.66,10.63,8.60,6.71,6.00,5.00,5.39,7.07,8.54,10.30,11.40,12.04,11.40,12.21,10.82,9.43,7.21,5.00,3.16,3.61,3.0,3.0
0.00,10.05,11.40,12.65,13.60,13.60,13.93,13.60,12.65,11.70,10.77,9.43,9.90,10.82,12.08,14.87,16.76,18.97,20.25,21.19,20.62,19.70,18.38,15.81,13.60,11.05,9.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.62,10.44,13.15,16.03,17.03,18.25,17.72,17.09,15.23,12.53,10.30,6.71,4.12,3.61,5.39,8.25,10.44,12.08,14.32,14.76,15.26,15.00,13.60,12.21,11.18,10.77,3.0,3.0
0.00,14.32,15.81,16.76,17.72,18.68,18.44,17.26,16.12,14.14,12.37,10.44,9.85,9.43,9.90,10.00,11.66,11.66,13.04,14.42,14.87,15.56,15.81,14.76,13.93,13.34,12.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,6.40,7.21,8.60,8.60,9.43,9.43,9.43,9.43,9.43,10.00,9.22,9.90,10.63,12.04,12.81,12.81,12.81,14.21,14.21,12.81,12.21,11.66,10.77,10.20,11.05,3.0,3.0
0.00,13.89,13.00,11.40,13.04,14.04,15.30,17.26,18.25,17.26,18.11,17.12,17.03,15.03,14.04,13.15,12.17,10.77,11.18,11.66,13.60,15.26,16.12,17.09,17.46,18.03,18.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.44,10.05,9.06,8.25,6.32,5.10,4.12,5.83,6.40,8.60,10.82,11.66,12.08,12.08,12.08,12.08,11.18,10.30,11.40,12.04,13.45,14.42,15.81,15.81,16.64,15.81,3.0,3.0
0.00,14.21,15.62,17.03,17.80,17.03,16.40,14.21,12.04,8.49,5.83,3.00,4.47,8.06,12.00,16.00,19.00,22.00,24.08,24.19,24.33,23.77,21.19,18.38,14.32,10.82,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.21,7.07,6.40,5.83,6.32,6.08,7.00,7.07,7.28,7.21,7.81,9.22,9.43,10.30,10.77,10.77,10.44,10.20,9.06,8.06,6.00,4.47,3.61,4.00,6.71,9.43,3.0,3.0
0.00,16.03,16.03,16.03,16.00,15.00,14.04,12.00,11.00,9.00,5.00,2.00,2.24,4.12,7.07,9.22,11.40,13.60,14.87,14.32,13.89,13.60,12.04,10.63,9.43,8.54,7.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.56,12.65,11.18,9.06,7.00,5.39,3.61,2.00,3.61,5.00,5.83,7.62,9.85,11.70,12.37,12.65,11.70,11.70,9.49,8.54,6.71,4.47,2.24,2.00,2.83,3.61,3.0,3.0
0.00,16.49,18.68,19.65,19.65,17.72,16.49,14.56,11.40,7.28,4.47,0.00,4.00,8.06,12.17,15.30,18.68,20.88,22.47,22.85,22.36,20.59,18.03,14.87,12.04,7.62,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,10.05,8.25,6.71,5.66,5.39,7.00,7.28,9.43,10.63,12.73,13.45,13.60,13.89,13.42,13.93,12.37,11.18,9.06,7.00,5.10,2.83,2.24,5.00,8.54,11.70,3.0,3.0
0.00,17.80,16.40,14.42,13.00,13.34,14.04,15.03,17.12,16.12,18.11,19.10,19.03,19.00,18.03,18.11,17.12,14.14,12.17,12.04,11.00,11.05,11.05,12.04,13.04,14.00,14.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.07,8.49,9.90,10.63,11.40,12.53,13.42,13.93,13.60,13.34,12.17,12.17,10.20,9.49,8.94,10.00,10.63,12.04,14.42,16.64,18.87,19.42,20.81,21.40,21.40,19.85,3.0,3.0
0.00,18.03,16.12,15.23,14.32,14.00,16.12,17.26,18.44,18.44,19.42,20.40,20.10,19.03,19.03,18.03,16.00,13.04,12.04,11.18,11.70,12.65,13.00,14.56,16.28,16.03,16.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,7.21,8.49,9.22,10.63,12.04,13.04,13.42,13.42,13.60,13.60,12.37,11.40,10.77,8.94,10.63,10.63,11.66,13.89,16.55,18.79,20.12,21.47,21.95,21.63,20.81,3.0,3.0
0.00,16.00,14.04,13.15,12.65,12.21,12.81,14.87,16.28,15.62,17.03,17.69,17.69,17.03,17.03,15.00,13.60,11.40,10.63,9.90,10.00,10.30,10.82,12.21,13.45,14.21,13.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.08,6.08,7.28,8.25,9.49,10.77,12.08,12.53,13.04,13.45,13.45,12.04,11.31,10.00,9.43,8.94,9.22,10.00,13.15,15.13,17.12,18.11,19.10,20.02,20.00,19.00,3.0,3.0
